# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.018345477619039591e-06, 6.618231806234853298e-02, 9.347047031292302259e-26, -3.192624550219971979e+02
1.017309520876802557e-06, 4.695121695539501705e-02, 1.226700302620544777e-25, -3.218963855413246051e+02
1.016275669737700109e-06, 3.294223076853323995e-02, 1.492505289063665633e-25, -3.247403457749810514e+02
1.015243917788727645e-06, 2.300783152606446572e-02, 8.323133032182513787e-26, -3.272786358134513307e+02
1.014214258642897386e-06, 1.622467470364983080e-02, 9.763595817937222661e-26, -3.245679610005773839e+02
1.013186685939105403e-06, 1.203216758705449689e-02, 4.449206003573930666e-26, -3.271327259612557441e+02
1.012161193342000953e-06, 9.256114759821406496e-03, 8.072064493580138513e-26, -3.290954050662273858e+02
1.011137774541857312e-06, 7.721540186094013290e-03, -2.519555654923866955e-26, -3.276182999028393965e+02
1.010116423254441328e-06, 7.082846249012038700e-03, 2.440969559614353487e-26, -3.251456700479923256e+02
1.009097133220884890e-06, 6.530451011032569440e-03, 1.037289928066401952e-26, -3.243405042791103483e+02
1.008079898207557442e-06, 6.405357672383802693e-03, -2.085431138257208564e-27, -3.231012282958989772e+02
1.007064712005938508e-06, 6.535310742825215305e-03, -6.774089699130244788e-27, -3.257755180510827131e+02
1.006051568432491909e-06, 6.392861234585510422e-03, 5.000731618283097774e-26, -3.267530819319947568e+02
1.005040461328539553e-06, 6.270474770063443407e-03, -1.462780048867562433e-26, -3.261019553841619540e+02
1.004031384560137345e-06, 6.384327059903402955e-03, -1.637708075332957858e-26, -3.270974392038106657e+02
1.003024332017950675e-06, 6.385740715602368153e-03, 1.393725912652726592e-26, -3.292427583211252227e+02
1.002019297617131172e-06, 6.406928869700914686e-03, -1.836050977427428731e-26, -3.275614288353152119e+02
1.001016275297194096e-06, 6.229532750898684676e-03, 1.964844109699795703e-26, -3.301473039402498557e+02
1.000015259021896792e-06, 6.131181190241401929e-03, -2.469240593913613622e-26, -3.289765056835494761e+02
9.990162427791177741e-07, 6.379516232782866773e-03, 1.198095120909051400e-26, -3.274273931439764169e+02
9.980192205807355977e-07, 6.266604945856076025e-03, 5.945438300981458209e-27, -3.272795236231111176e+02
9.970241864625094314e-07, 6.427623020825196098e-03, -2.235068412928550827e-26, -3.295328656149222297e+02
9.960311344839611055e-07, 6.407512070811492710e-03, 2.952894960724648803e-26, -3.264706210174546186e+02
9.950400587282556813e-07, 6.437383031610431801e-03, -5.298371924078500170e-26, -3.269061334748506624e+02
9.940509533020843481e-07, 6.365693129125634189e-03, 3.679772281012689793e-26, -3.277174154886334350e+02
9.930638123355481686e-07, 6.509099422061287790e-03, 6.526457701110562257e-28, -3.270326759514244372e+02
9.920786299820405527e-07, 6.438784860842471439e-03, -4.900355085148454517e-27, -3.243671431052973162e+02
9.910954004181337548e-07, 6.325897951576637396e-03, 3.070779729119761033e-26, -3.225675217602728821e+02
9.901141178434621958e-07, 6.261007515458534220e-03, -2.367825660947413194e-26, -3.234488943661878579e+02
9.891347764806102306e-07, 6.452855662323552302e-03, -8.171189687885114666e-27, -3.218488678525467321e+02
9.881573705749969518e-07, 6.366014560308308999e-03, 3.713858434699049036e-26, -3.249292547255848831e+02
