# wl (nm), spectrum (a.u.), gdd (fs^2),phase
9.727774893209113524e-07, 5.917197776421022869e-03, -2.186339239910503990e-27, 2.912996370213455748e+02
9.718321273293458129e-07, 6.030453767590521381e-03, -1.723015827619984627e-26, 2.913551151933942833e+02
9.708886009921329048e-07, 5.989046869486023585e-03, 1.390364974311724961e-26, 2.937826710530596301e+02
9.699469049678921799e-07, 5.949098185149505856e-03, -4.486939930525426823e-27, 2.914241954221352557e+02
9.690070339359467931e-07, 6.020129220420902816e-03, -2.083398303009178996e-26, 2.896550714366735519e+02
9.680689825962216464e-07, 5.993920889275171533e-03, 1.188696028286706152e-27, 2.894958695344686248e+02
9.671327456691459798e-07, 5.845562341168506967e-03, 2.413963105110408558e-26, 2.892522025415661346e+02
9.661983178955525751e-07, 6.070437920854781892e-03, 7.315622937943531638e-27, 2.900017691275866127e+02
9.652656940365801345e-07, 5.945345224489732676e-03, -7.145076351297760661e-27, 2.923474010639917537e+02
9.643348688735746022e-07, 5.938241962535295744e-03, 8.145838436497248284e-27, 2.942304319837688809e+02
9.634058372079932370e-07, 5.854377144004787280e-03, -5.039925281962190106e-27, 2.926176447316245230e+02
9.624785938613059336e-07, 5.877441186045772280e-03, 7.952076491876015209e-27, 2.946017649379008390e+02
9.615531336749007782e-07, 6.038232323850973964e-03, -3.146861837558076775e-26, 2.972086950381993802e+02
9.606294515099874867e-07, 5.982612358408028949e-03, 3.061156204653644887e-26, 2.996255063511510457e+02
9.597075422475016901e-07, 5.852208873677276595e-03, -2.997713958144064330e-26, 2.978364349903899324e+02
9.587874007880123959e-07, 6.123414403072074616e-03, 2.457987889492506112e-26, 2.953997367205908517e+02
9.578690220516252151e-07, 6.137696094670562832e-03, -1.892114497981772361e-26, 2.971025709096911669e+02
9.569524009778917291e-07, 6.019003429013909667e-03, 4.785036467786159444e-26, 2.961929554995840590e+02
9.560375325257139871e-07, 5.938787908159193739e-03, -2.650941274800737393e-26, 2.974978548787813679e+02
9.551244116732540850e-07, 5.926826511049552125e-03, -3.982199780489893020e-26, 2.990689583161226892e+02
9.542130334178405687e-07, 5.932369915448629065e-03, 1.333794629123065850e-26, 3.005818897448650091e+02
9.533033927758788602e-07, 6.051329009125933772e-03, 4.497202578608420915e-27, 3.021722577556728311e+02
9.523954847827590364e-07, 6.020243387297173274e-03, 5.084660067551781805e-27, 3.001725048840870613e+02
9.514893044927658328e-07, 6.075755830919363221e-03, -5.363669750202260515e-27, 3.024823114399256383e+02
9.505848469789894925e-07, 6.083178169946999898e-03, 2.114862034633764675e-26, 3.041286527142155478e+02
