# wl (nm), spectrum (a.u.), gdd (fs^2),phase
1.002019297617131172e-06, 6.071088794673508947e-03, 4.250717523309170940e-26, 2.702017128943954276e+02
1.001016275297194096e-06, 5.831041095024904093e-03, -4.206317188474895464e-26, 2.671238331132059329e+02
1.000015259021896792e-06, 6.124986220710684770e-03, 1.917370620267634788e-26, 2.649373349047563693e+02
9.990162427791177741e-07, 5.737597402807325352e-03, -4.666399552076105022e-26, 2.650874084750406610e+02
9.980192205807355977e-07, 5.986985681968562574e-03, -1.445819128345849410e-26, 2.646548213061363413e+02
9.970241864625094314e-07, 5.808409713899645617e-03, 5.415076370466607614e-26, 2.666777211674018417e+02
9.960311344839611055e-07, 6.088212821586141965e-03, -2.600682077133267442e-26, 2.656028207131400904e+02
9.950400587282556813e-07, 5.797592892672312655e-03, 5.476088748201411515e-26, 2.627962295296235311e+02
9.940509533020843481e-07, 5.500104793807748284e-03, -5.456295089823068053e-27, 2.659116137781156795e+02
9.930638123355481686e-07, 5.301239462098872313e-03, -4.199115281129398798e-26, 2.639335442888817624e+02
9.920786299820405527e-07, 5.761993690511482170e-03, 3.740580196038865516e-26, 2.614679333896684170e+02
9.910954004181337548e-07, 5.822684700994902596e-03, -5.351316471599516010e-26, 2.608121928598252453e+02
9.901141178434621958e-07, 5.877892043211930574e-03, 2.090508652959698416e-26, 2.636665310761724186e+02
9.891347764806102306e-07, 6.065436973263334079e-03, 4.805151853364508507e-26, 2.666535828768224405e+02
9.881573705749969518e-07, 5.496044441294138660e-03, -5.060437489776036369e-26, 2.663143645013133209e+02
9.871818943947648048e-07, 5.665836236433853014e-03, 4.787891209057546891e-26, 2.682717474958281514e+02
9.862083422306675680e-07, 5.860000761281455167e-03, -3.208191786963692082e-26, 2.680180597190782237e+02
9.852367083959574852e-07, 5.372953964434917969e-03, -6.556557302709928347e-26, 2.688189362847474513e+02
9.842669872262764221e-07, 5.777891720377601598e-03, 7.070748490945993922e-26, 2.702951294747213069e+02
9.832991730795446935e-07, 5.787976205913144406e-03, -5.005824907687321017e-26, 2.699696876986751022e+02
9.823332603358515837e-07, 5.631979507989918858e-03, -1.121860363318734822e-26, 2.703632328492723786e+02
9.813692433973473503e-07, 5.755606098296023147e-03, 9.973416885482856096e-26, 2.688017815174209773e+02
9.804071166881341683e-07, 5.878350559930855222e-03, -7.568302334120004434e-26, 2.705396141711685232e+02
9.794468746541596162e-07, 5.429012324023364984e-03, 2.783794139418383825e-26, 2.713226553954995666e+02
9.784885117631084671e-07, 5.464017281372848464e-03, -6.400855366788503047e-27, 2.689150882872926331e+02
9.775320225042980803e-07, 5.743704269981840353e-03, -1.357649825422211561e-26, 2.675105407010442491e+02
9.765774013885712517e-07, 5.461574513976229055e-03, 2.981662874111572954e-26, 2.655976955018568333e+02
9.756246429481920287e-07, 5.913127969355938193e-03, 1.890166335095536030e-27, 2.628915431059152752e+02
9.746737417367415250e-07, 5.477505399050910072e-03, -4.908116181825045575e-28, 2.605018064639558588e+02
9.737246923290135240e-07, 5.777029645087613033e-03, -1.637607006199793801e-27, 2.579906901535356383e+02
9.727774893209113524e-07, 6.107614186184749834e-03, -8.081679509539652265e-26, 2.604041598729471616e+02
9.718321273293458129e-07, 5.920228838232456138e-03, 3.958488483425447907e-26, 2.611101002177736063e+02
9.708886009921329048e-07, 5.487090523796672725e-03, 1.171312476965777531e-26, 2.614407811649894597e+02
9.699469049678921799e-07, 5.633993255478248266e-03, -3.719221861220080741e-26, 2.623067710228336864e+02
9.690070339359467931e-07, 5.908206944995613927e-03, 3.708461374980230568e-26, 2.593014159306191004e+02
9.680689825962216464e-07, 5.650928632888112084e-03, -7.555976345493708685e-26, 2.575351811995007552e+02
9.671327456691459798e-07, 5.628641722273917090e-03, 7.196971340353771099e-26, 2.584643857158438891e+02
9.661983178955525751e-07, 5.700414545248215503e-03, 3.816115431680800752e-26, 2.568046270870889316e+02
9.652656940365801345e-07, 5.504433571768977199e-03, 1.406232828269608048e-26, 2.543338362766688761e+02
9.643348688735746022e-07, 6.037269420399018170e-03, -1.794751807305881580e-26, 2.529272412386139024e+02
9.634058372079932370e-07, 5.460286284073130429e-03, -2.786960459732838309e-26, 2.548797627496751943e+02
9.624785938613059336e-07, 5.642892264299252669e-03, -5.730128292087466759e-26, 2.532165151579331734e+02
9.615531336749007782e-07, 5.994183065591817718e-03, 1.035768084857084093e-25, 2.519347270281411397e+02
9.606294515099874867e-07, 5.914416833399267596e-03, -1.398257645476298910e-25, 2.530712272569137156e+02
9.597075422475016901e-07, 5.591398398134733543e-03, 9.788428694778768173e-26, 2.499940401902657641e+02
9.587874007880123959e-07, 5.808102158146295421e-03, -3.814866684538953740e-28, 2.517880537786838886e+02
9.578690220516252151e-07, 5.836521328777723693e-03, -2.404627114475129102e-26, 2.490037345659890491e+02
9.569524009778917291e-07, 5.997722433398200610e-03, -1.340524935990788842e-26, 2.501348892675271145e+02
9.560375325257139871e-07, 5.854524346354690427e-03, 8.008821471416705812e-26, 2.480770415277139591e+02
9.551244116732540850e-07, 5.657965928025402227e-03, -1.535386917176642851e-26, 2.474698451295352868e+02
9.542130334178405687e-07, 5.652340795184734520e-03, -5.494753311516404365e-26, 2.465725548715560649e+02
9.533033927758788602e-07, 5.597524921775819291e-03, 4.982494783186948682e-26, 2.491344543983779261e+02
9.523954847827590364e-07, 5.887094033402231336e-03, -1.235537151302963459e-26, 2.474393485548741296e+02
9.514893044927658328e-07, 5.506661760144781689e-03, 1.078294057268889666e-26, 2.465253126201332918e+02
9.505848469789894925e-07, 6.004006900784598054e-03, -3.980108230184531651e-26, 2.449831708233165557e+02
