# wl (nm), spectrum (a.u.), gdd (fs^2),phase
9.901141178434621958e-07, 5.655240272011831208e-03, 4.969769710049273753e-26, 1.790761187685105824e+02
9.891347764806102306e-07, 5.835813651873278905e-03, -7.098900833728770669e-27, 1.766800523276086778e+02
9.881573705749969518e-07, 5.624531741692359761e-03, -2.444114204840246650e-26, 1.768162953442479761e+02
9.871818943947648048e-07, 5.794648450053372507e-03, 1.905354229606369791e-26, 1.752179524604550238e+02
9.862083422306675680e-07, 5.686335196138011909e-03, 5.931430552887029569e-27, 1.751990745204858513e+02
9.852367083959574852e-07, 5.874157348087678115e-03, -1.483720746271828267e-26, 1.753327130152732707e+02
9.842669872262764221e-07, 5.718605319563649717e-03, -5.783971629211638814e-27, 1.768279237016131447e+02
9.832991730795446935e-07, 5.740924411219396756e-03, 1.004306020809081771e-26, 1.781390524738706063e+02
9.823332603358515837e-07, 5.832958335098850644e-03, -2.786725897973461952e-26, 1.762270510114207696e+02
9.813692433973473503e-07, 5.846834699138018718e-03, 2.379577828423139178e-26, 1.776375711651224663e+02
9.804071166881341683e-07, 5.816233782348367159e-03, 1.442557545288059265e-26, 1.754335237955575906e+02
9.794468746541596162e-07, 5.821132477410700078e-03, -3.063116315494477388e-27, 1.751850068916955081e+02
9.784885117631084671e-07, 5.895538928110689511e-03, -6.460841733891495040e-27, 1.765684473588913761e+02
9.775320225042980803e-07, 5.587432995085599673e-03, -1.508492836518702185e-26, 1.735838634269338741e+02
9.765774013885712517e-07, 5.655415299950401764e-03, -1.147619296355582899e-26, 1.709088742446267872e+02
9.756246429481920287e-07, 5.760969352789703166e-03, 3.217829726779439090e-26, 1.699620287655994275e+02
9.746737417367415250e-07, 5.634874435153701920e-03, -3.834068949305751423e-26, 1.686110178435466196e+02
9.737246923290135240e-07, 5.658726651662878381e-03, 3.837751097388920988e-26, 1.716777056297620732e+02
9.727774893209113524e-07, 5.500936755532780977e-03, -1.138015556590852763e-26, 1.698754114150636951e+02
9.718321273293458129e-07, 5.787702980438113112e-03, 4.642963805852067238e-26, 1.671458838468306567e+02
9.708886009921329048e-07, 5.597791515777729085e-03, -3.571196270164988583e-26, 1.684992135999481491e+02
9.699469049678921799e-07, 5.749144632319950175e-03, 4.126513539691182495e-27, 1.654295449963651095e+02
9.690070339359467931e-07, 5.803954411668753831e-03, -3.391045868088589521e-26, 1.642103886706704543e+02
9.680689825962216464e-07, 5.809370174319806318e-03, 3.968048931154476653e-26, 1.634201065116655514e+02
9.671327456691459798e-07, 5.799820530094330212e-03, 1.820981626986497772e-26, 1.635176114962202973e+02
9.661983178955525751e-07, 5.617026449404321706e-03, -4.203746882898605146e-26, 1.645117898677183064e+02
9.652656940365801345e-07, 5.808158183567699133e-03, -9.816299626543566603e-27, 1.629542826825344548e+02
9.643348688735746022e-07, 5.798887023736086846e-03, 2.892850751096932776e-26, 1.624528474447389499e+02
9.634058372079932370e-07, 5.692786644767525855e-03, -4.300165905384558623e-26, 1.597964772351175498e+02
9.624785938613059336e-07, 5.941731370777018038e-03, 2.599467580218412894e-26, 1.623389494238448663e+02
9.615531336749007782e-07, 5.837030759043077520e-03, 1.295549110456754651e-26, 1.649123817527888320e+02
9.606294515099874867e-07, 5.888325750085367759e-03, -1.939408566874588015e-26, 1.626367317870252975e+02
9.597075422475016901e-07, 5.834084207327993113e-03, 5.107654218417216161e-27, 1.635217076044682756e+02
9.587874007880123959e-07, 5.697642751913164702e-03, 2.510860442728242975e-26, 1.644125623593571675e+02
9.578690220516252151e-07, 5.689912576503288778e-03, -2.336806005603782347e-26, 1.625995818993965258e+02
9.569524009778917291e-07, 5.963359333851952701e-03, -7.984816422357621326e-27, 1.595281953559459964e+02
9.560375325257139871e-07, 5.747593132249227688e-03, -3.606388316795945973e-27, 1.608061057084644290e+02
9.551244116732540850e-07, 5.649158244038249288e-03, 2.219629308854745031e-26, 1.594957940900946767e+02
9.542130334178405687e-07, 5.694940673264334806e-03, -1.275269049961885347e-26, 1.598085785624920163e+02
9.533033927758788602e-07, 5.775660333868692410e-03, 4.109106115719097164e-26, 1.617280882490243812e+02
9.523954847827590364e-07, 5.838257274313349288e-03, -2.650205262410667922e-26, 1.595914050463741489e+02
9.514893044927658328e-07, 5.777476259338315719e-03, -5.700241652111308064e-27, 1.592728557940037604e+02
9.505848469789894925e-07, 5.751505229752293218e-03, 1.362638346969248456e-26, 1.600404646244904256e+02
